model_name,context,acc
allenai/unifiedqa-t5-base,no_context,85.90308370044053
allenai/unifiedqa-t5-base,with_context,95.15418502202643
allenai/unifiedqa-t5-large,no_context,87.22466960352423
allenai/unifiedqa-t5-large,with_context,93.3920704845815
